	ref_run	Ref_for_bioinformatic	ref_mycea	year	region	terroir	city	parcel	practice	lat	long	cultural_practice	rank	inter_rank	soil_practice	irrigation	compartment	spores_rep1	spores_rep2	spores_rep3	spores_rep1_viable	spores_rep2_viable	spores_rep3_viable	Coarse_sand	Fine_sand	Total_sand	Coarse_silt	Fine_silt	Total_filt	Total_clay	Total_lime	ph	C	SOM	N	C_N	Cu	P2O5	CaO	MgO	K20	Na20	CEC	Myc_freq1	Myc_intensity_root1	Myc_intensity_colonization1	Arbuscul_richness1	Arbuscul_abundance_root1	Vesicle_richness1	Vesicle_abundance_root1	Myc_freq2	Myc_intensity_root2	Myc_intensity_colonization2	Arbuscul_richness2	Arbuscul_abundance_root2	Vesicle_richness2	Vesicle_abundance_root2	Myc_freq3	Myc_intensity_root3	Myc_intensity_colonization3	Arbuscul_richness3	Arbuscul_abundance_root3	Vesicle_richness3	Vesicle_abundance_root3
20LIB014VC16	20LIB014	20LIB014VC16	VC16	2019	Languedoc	Cevennes	Bourdic	Conversion	Conversion	4.342338	43.985222	Conversion	Scratching	Scratching	Scratching	FALSE	Spores	6814.08	7318.08	7176.96				46	113	159	230	262	492	349	96	8.2	11	18.92	1.28	8.59375	21.9	363		253.487	495.492	14.26	22	100	16.87	16.87	39.05	6.58	5.34	0.9	100	11.73	11.73	64.16	4.32	25.05	1.69	100	8.93	8.93	62.84	5.61	3.73	0.33
20LIB014VC2	20LIB014	20LIB014VC2	VC2	2019	Languedoc	Cevennes	St Maurice de Cazevieille	Conventional	Conventional	4.247388	44.035228	Conventional	Herbicide	Scratching	Herbicide	FALSE	Spores	6138.72	5664.96	6068.16				104	95	199	165	325	490	311	176	8.2	11.9	20.468	1.39	8.56115107913669	14.1	166		275.4505	370.677	17.98	15.7	100	12.13	12.13	52.41	8.98	26.07	4.47	100	7	7	51.71	3.62	4.38	0.31	100	7	7	54.1	3.79	4.95	0.35
20LIB014VC44	20LIB014	20LIB014VC44	VC44	2019	Languedoc	Cevennes	St Maurice de Cazevieille	Organic weeded	Organic	4.246542	44.036925	Organic weeded	Scratching	Scratching	Scratching	FALSE	Spores	11430.72	11229.12	10634.4				110	90	200	162	331	493	307	224	8.3	8.4	14.448	1.33	6.31578947368421	10.8	84		293.1825	230.79	15.5	15	100	20.53	20.53	62.21	12.77	17.53	3.6	100	18.53	18.53	58.82	10.76	6.03	2.27	100	14.47	14.47	64.1	9.27	19.12	2.77
20LIB014VC58	20LIB014	20LIB014VC58	VC58	2019	Languedoc	Cevennes	St Maurice de Cazevieille	Organic grassed	Organic	4.245874	44.036324	Organic grassed	Grassing	Grassing	Grassing	FALSE	Spores	13015.2	12658.2	13066.2				86	148	234	178	306	484	282	320	8.3	13	22.36	1.4	9.28571428571429	15.9	84		274.443	219.957	13.33	12.4	100	18.8	18.8	58.37	10.97	1.49	0.7	100	32.33	32.33	80.52	26.03	29.18	9.43	100	38.07	38.07	75.48	28.73	28.37	10.8
20LIB014VCA1	20LIB014	20LIB014VCA1	VCA1	2019	Languedoc	Cevennes	St Maurice de Cazevieille	Conventional	Conventional	4.247388	44.035228	Conventional	Herbicide	Scratching	Herbicide	FALSE	Roots							104	95	199	165	325	490	311	176	8.2	11.9	20.468	1.39	8.56115107913669	14.1	166		275.4505	370.677	17.98	15.7	100	12.13	12.13	52.41	8.98	26.07	4.47	100	7	7	51.71	3.62	4.38	0.31	100	7	7	54.1	3.79	4.95	0.35
20LIB014VCA3	20LIB014	20LIB014VCA3	VCA3	2019	Languedoc	Cevennes	Bourdic	Conversion	Conversion	4.342338	43.985222	Conversion	Scratching	Scratching	Scratching	FALSE	Roots							46	113	159	230	262	492	349	96	8.2	11	18.92	1.28	8.59375	21.9	363		253.487	495.492	14.26	22	100	16.87	16.87	39.05	6.58	5.34	0.9	100	11.73	11.73	64.16	4.32	25.05	1.69	100	8.93	8.93	62.84	5.61	3.73	0.33
20LIB014VCA5	20LIB014	20LIB014VCA5	VCA5	2019	Languedoc	Cevennes	St Maurice de Cazevieille	Organic weeded	Organic	4.246542	44.036925	Organic weeded	Scratching	Scratching	Scratching	FALSE	Roots							110	90	200	162	331	493	307	224	8.3	8.4	14.448	1.33	6.31578947368421	10.8	84		293.1825	230.79	15.5	15	100	20.53	20.53	62.21	12.77	17.53	3.6	100	18.53	18.53	58.82	10.76	6.03	2.27	100	14.47	14.47	64.1	9.27	19.12	2.77
20LIB014VCA7	20LIB014	20LIB014VCA7	VCA7	2019	Languedoc	Cevennes	St Maurice de Cazevieille	Organic grassed	Organic	4.245874	44.036324	Organic grassed	Grassing	Grassing	Grassing	FALSE	Roots							86	148	234	178	306	484	282	320	8.3	13	22.36	1.4	9.28571428571429	15.9	84		274.443	219.957	13.33	12.4	100	18.8	18.8	58.37	10.97	1.49	0.7	100	32.33	32.33	80.52	26.03	29.18	9.43	100	38.07	38.07	75.48	28.73	28.37	10.8
20LIB014VCB1	20LIB014	20LIB014VCB1	VCB1	2019	Languedoc	Cevennes	St Maurice de Cazevieille	Conventional	Conventional	4.247388	44.035228	Conventional	Herbicide	Scratching	Herbicide	FALSE	Mycelium							104	95	199	165	325	490	311	176	8.2	11.9	20.468	1.39	8.56115107913669	14.1	166		275.4505	370.677	17.98	15.7	100	12.13	12.13	52.41	8.98	26.07	4.47	100	7	7	51.71	3.62	4.38	0.31	100	7	7	54.1	3.79	4.95	0.35
20LIB014VCB3	20LIB014	20LIB014VCB3	VCB3	2019	Languedoc	Cevennes	Bourdic	Conversion	Conversion	4.342338	43.985222	Conversion	Scratching	Scratching	Scratching	FALSE	Mycelium							46	113	159	230	262	492	349	96	8.2	11	18.92	1.28	8.59375	21.9	363		253.487	495.492	14.26	22	100	16.87	16.87	39.05	6.58	5.34	0.9	100	11.73	11.73	64.16	4.32	25.05	1.69	100	8.93	8.93	62.84	5.61	3.73	0.33
20LIB014VCB5	20LIB014	20LIB014VCB5	VCB5	2019	Languedoc	Cevennes	St Maurice de Cazevieille	Organic weeded	Organic	4.246542	44.036925	Organic weeded	Scratching	Scratching	Scratching	FALSE	Mycelium							110	90	200	162	331	493	307	224	8.3	8.4	14.448	1.33	6.31578947368421	10.8	84		293.1825	230.79	15.5	15	100	20.53	20.53	62.21	12.77	17.53	3.6	100	18.53	18.53	58.82	10.76	6.03	2.27	100	14.47	14.47	64.1	9.27	19.12	2.77
20LIB014VCB7	20LIB014	20LIB014VCB7	VCB7	2019	Languedoc	Cevennes	St Maurice de Cazevieille	Organic grassed	Organic	4.245874	44.036324	Organic grassed	Grassing	Grassing	Grassing	FALSE	Mycelium							86	148	234	178	306	484	282	320	8.3	13	22.36	1.4	9.28571428571429	15.9	84		274.443	219.957	13.33	12.4	100	18.8	18.8	58.37	10.97	1.49	0.7	100	32.33	32.33	80.52	26.03	29.18	9.43	100	38.07	38.07	75.48	28.73	28.37	10.8
20LIB014VF16	20LIB014	20LIB014VF16	VF16	2019	Languedoc	Faugeres	Autignac	Conversion	Conversion	3.162992	43.521284	Conversion	Scratching	Scratching	Scratching	FALSE	Spores	1370.88	1018.08	1108.8				267	200	467	130	180	310	223	48	7	15.2	26.144	1.59	9.55974842767296	14.8	165		449.5465	225.609	41.85	10.6	94.44	7.56	8	57.28	4.33	6.47	0.49	100	19.93	19.93	63.86	14.01	25.47	5.59	100	10.53	10.53	76.9	8.1	67.15	7.07
20LIB014VF2	20LIB014	20LIB014VF2	VF2	2019	Languedoc	Faugeres	Autignac	Conventional	Conventional	3.167559	43.516683	Conventional	Herbicide	Scratching	Herbicide	FALSE	Spores	3558.24	2872.8	2963.52				323	172	495	103	168	271	234	36	7.6	10.9	18.748	1.39	7.84172661870504	13.1	79		310.713	92.787	40.61	10.8	100	30.4	30.4	35.44	10.77	50.44	15.33	100	15.6	15.6	37.53	4.35	37.47	4.35	100	28.73	28.73	16.03	4.61	69.72	20.03
